,count,mean,std,min,25%,50%,75%,max
selected_hr_min_bpm,211.0,49.573633037914696,7.544086931875954,30.0,44.311448999999996,49.144345,55.1274175,69.852594
selected_hr_max_bpm,211.0,103.95814697630331,18.472175086833833,56.005274,89.999885,102.223667,114.99219049999999,170.714286
selected_hr_mean_bpm,211.0,62.80655759241706,8.37175530798849,34.348107,56.293415,62.284091,69.6861285,84.298237
selected_hr_median_bpm,211.0,62.36914763033175,8.482489575107795,33.707911,56.089175,61.508851,69.01155299999999,84.114861
selected_hr_std_bpm,211.0,4.350234957345971,1.6881505306083096,1.563067,3.2648625,4.069837,4.9867025,15.501703
selected_hr_valid_pct,213.0,56.80798122065729,12.91524191548477,0.0,50.8,58.7,65.5,80.2
selected_hr_valid_min,213.0,270.56760563380277,68.80750653154803,0.0,234.9,273.6,315.9,449.3
selected_rmssd_mean_ms,211.0,36.88582089099526,22.574160555173698,20.053512,26.2053455,30.588749,37.992417,212.085984
selected_rmssd_median_ms,211.0,35.38302783886255,23.06841790184661,19.619562,25.456453,29.159744,35.890786500000004,212.343384
selected_sdnn_mean_ms,211.0,46.05442188625593,23.58200242542715,16.541046,31.7659605,39.801281,52.153451,180.026639
selected_sdnn_median_ms,211.0,42.667319246445494,22.910722312762815,14.649376,28.1182755,36.668103,48.569969,163.339262
selected_prv_rmssd_final_analysis_valid_pct,213.0,44.028169014084504,15.709159536072898,0.0,34.1,46.7,55.4,73.9
selected_prv_rmssd_final_analysis_valid_min,213.0,209.03098591549298,77.56030689183392,0.0,163.1,216.9,259.7,391.2
selected_prv_rmssd_pre_final_exclusion_valid_pct,213.0,69.29389671361501,11.535703817894566,0.0,66.6,71.1,74.7,87.8
selected_prv_rmssd_pre_final_exclusion_valid_min,213.0,330.0422535211268,69.48157960446531,0.0,291.6,333.6,370.9,499.7
prv_tv_sdnn_final_analysis_valid_pct,211.0,45.33601895734597,15.394304181049774,3.9,35.4,47.4,56.6,75.0
prv_tv_sdnn_final_analysis_valid_min,211.0,215.31374407582936,76.32460222915645,14.1,165.64999999999998,221.9,270.05,392.1
prv_tv_sdnn_pre_final_exclusion_valid_pct,211.0,71.29478672985782,9.406235081406386,9.6,68.25,72.5,76.5,88.4
