feature,target,n,spearman_rho,abs_spearman_rho,p_value,feature_median,target_median,q_value_bh
sleep_wake_n,TotalWakeTime,213,0.9996075526256663,0.9996075526256663,0.0,3301.0,55.0,0.0
combo_all_sleep_sleep_hours,TotalSleepTime,213,0.9994865136887254,0.9994865136887254,2.800275e-317,6.823333,409.67,8.165602334e-314
combo_all_sleep_hr_mean,MeanPRSleep,210,0.995243453315507,0.995243453315507,2.411868962325239e-212,62.648618,62.0,4.688673262760265e-209
combo_wake_sleep_hr_mean,MeanPRSleep,212,0.9936909954537806,0.9936909954537806,1.5958724013744434e-201,63.4012965,62.0,2.3267819612039387e-198
combo_wake_sleep_hr_median,MeanPRSleep,212,0.9922234733610492,0.9922234733610492,5.089345626708017e-192,62.632017000000005,62.0,5.936212738992231e-189
selected_hr_mean_bpm,MeanPRSleep,210,0.9919046817422073,0.9919046817422073,2.119046340263314e-188,62.419781,62.0,1.7654683223450924e-185
combo_nrem_hr_mean,MeanPRSleep,210,0.9919046817422073,0.9919046817422073,2.119046340263314e-188,62.419781,62.0,1.7654683223450924e-185
combo_all_sleep_hr_median,MeanPRSleep,210,0.9915765576387596,0.9915765576387596,1.298472476599569e-186,62.0664145,62.0,9.465864354410858e-184
selected_hr_median_bpm,MeanPRSleep,210,0.9895369210626763,0.9895369210626763,7.272888892474688e-177,61.5236565,62.0,4.241548802091238e-174
combo_nrem_hr_median,MeanPRSleep,210,0.9895369210626763,0.9895369210626763,7.272888892474688e-177,61.5236565,62.0,4.241548802091238e-174
sleep_light_n,TotalLightSleepTime,211,0.985856612894361,0.985856612894361,4.129159878817763e-164,16094.0,266.2,2.1892054921150177e-161
sleep_deep_n,TotalDeepSleepTime,211,0.9827782968032654,0.9827782968032654,3.0473403690471087e-155,3420.0,57.52,1.481007419356895e-152
combo_deep_sleep_hours,TotalDeepSleepTime,211,0.9824313753715952,0.9824313753715952,2.4058872194123886e-154,0.948333,57.52,1.0793180202779269e-151
combo_rem_sleep_hours,TotalREMTime,211,0.9804448346966794,0.9804448346966794,1.5789725403347812e-149,1.398611,84.5,6.577548468023174e-147
sleep_rem_n,TotalREMTime,211,0.9804306577566212,0.9804306577566212,1.7019466543476277e-149,5040.0,84.5,6.617168592103577e-147
selected_prv_excluded_overlap_pct_of_selected,NREM_ODI,209,0.9737293406468224,0.9737293406468224,5.3999604839935686e-135,2.165109,2.62,1.968285596415656e-132
desat_pct,ODI,213,0.969879376057406,0.969879376057406,2.1675420891913547e-131,2.6,4.19,7.022836368979989e-129
desat_pct,ODI_4_Percent,213,0.969879376057406,0.969879376057406,2.1675420891913547e-131,2.6,4.19,7.022836368979989e-129
desat_n,DesatBurdenOverall,213,0.9670243375383544,0.9670243375383544,2.6305692226585785e-127,720.0,55.0,8.074463003444647e-125
desat_n,ODI,213,0.9653724945157677,0.9653724945157677,4.186123846586968e-125,720.0,4.19,1.162546393966438e-122
desat_n,ODI_4_Percent,213,0.9653724945157677,0.9653724945157677,4.186123846586968e-125,720.0,4.19,1.162546393966438e-122
desat_pct,DesatBurdenPerHour,213,0.9648401028153719,0.9648401028153719,2.035730109114837e-124,2.6,9.0,5.396535452889878e-122
selected_prv_excluded_overlap_min,NREM_ODI,209,0.9641928344827585,0.9641928344827585,2.7514096933962173e-121,7.083333,2.62,6.171623589187207e-119
combo_deep_hr_mean,MeanPRSleep,210,0.9641064418223483,0.9641064418223483,9.310738078604549e-122,61.9738335,62.0,2.2876948807189192e-119
combo_rem_hr_mean,MeanPRSleep,210,0.9641025512359355,0.9641025512359355,9.414382225180738e-122,63.7325825,62.0,2.2876948807189192e-119
desat_pct,DesatBurdenOverall,213,0.9625094238087294,0.9625094238087294,1.5708704122883976e-121,2.6,55.0,3.6645264977863743e-119
desat_n,DesatBurdenPerHour,213,0.9603478614098556,0.9603478614098556,5.187505302069985e-119,720.0,9.0,1.1205011452471167e-116
desat_pct,AHI_4_Percent,213,0.9583463499215895,0.9583463499215895,8.420186416503011e-117,2.6,4.68,1.7538045421801986e-114
combo_deep_hr_median,MeanPRSleep,210,0.9579015353944923,0.9579015353944923,1.0735412783658704e-114,61.6190945,62.0,2.1589285294585365e-112
combo_rem_hr_median,MeanPRSleep,210,0.9549770322724046,0.9549770322724046,9.955773883072143e-112,63.5529285,62.0,1.7594567662447496e-109
desat_n,AHI_4_Percent,213,0.9544800189171627,0.9544800189171627,8.00631201453624e-113,720.0,4.68,1.556427055625845e-110
evt_obstructive_3_n,AHI,213,0.953863551373902,0.953863551373902,3.203293113523769e-112,62.0,9.7,5.838001699397069e-110
evt_obstructive_3_n,AHI_3_Percent,213,0.953863551373902,0.953863551373902,3.203293113523769e-112,62.0,9.7,5.838001699397069e-110
evt_obstructive_3_n,ODI_3_Percent,213,0.9504660944860895,0.9504660944860895,4.818955184097988e-109,62.0,9.71,8.265925480488079e-107
evt_obstructive_3_n,DesatBurdenOverall,213,0.9485727096963688,0.9485727096963688,2.2804421620172647e-107,62.0,55.0,3.799868196824196e-105
selected_prv_excluded_apnea_only_pct_of_selected,NREM_AHI,209,0.9464510525557331,0.9464510525557331,1.3474536370905127e-103,6.409455,7.71,2.0679867398715448e-101
evt_obstructive_3_pct,AHI,213,0.9454372026302801,0.9454372026302801,9.938489631250317e-105,0.2,9.7,1.566520852147347e-102
evt_obstructive_3_pct,AHI_3_Percent,213,0.9454372026302801,0.9454372026302801,9.938489631250317e-105,0.2,9.7,1.566520852147347e-102
evt_obstructive_3_pct,ODI_3_Percent,213,0.9434032831387896,0.9434032831387896,4.2383839145715855e-103,0.2,9.71,6.338014099943972e-101
selected_prv_clean_kept_pct_of_selected,NREM_AHI,209,-0.9359588751890092,0.9359588751890092,8.592720075793034e-96,88.104131,7.71,1.1654126391168597e-93
selected_prv_mask_excluded_total_pct_of_selected,NREM_AHI,209,0.9359588751890092,0.9359588751890092,8.592720075793034e-96,11.895869,7.71,1.1654126391168597e-93
evt_obstructive_3_pct,DesatBurdenOverall,213,0.9341631615539162,0.9341631615539162,2.1981807605816044e-96,0.2,55.0,3.204947548927979e-94
