,count,mean,std,min,25%,50%,75%,max
AHI,213.0,13.380845070422534,12.725066342987402,0.51,4.14,9.7,17.31,66.25
AHI_3_Percent,213.0,13.380845070422534,12.725066342987402,0.51,4.14,9.7,17.31,66.25
AHI_4_Percent,213.0,7.682488262910799,9.58590134668615,0.0,1.27,4.68,9.58,52.35
RDI,213.0,16.65507042253521,12.361377374089018,1.62,7.7,13.67,20.76,66.38
ODI,213.0,7.242863849765258,9.229638669375133,0.0,1.3,4.19,9.09,53.12
ODI_3_Percent,213.0,13.544272300469485,12.704951792808115,0.54,4.35,9.71,17.88,67.29
ODI_4_Percent,213.0,7.242863849765258,9.229638669375133,0.0,1.3,4.19,9.09,53.12
NREM_AHI,209.0,11.716363636363637,12.798885662950768,0.21,3.27,7.71,14.67,74.43
REM_AHI,209.0,18.971913875598087,15.958803911352769,0.0,5.61,15.36,29.63,70.42
NREM_ODI,209.0,6.004545454545455,9.001669818870944,0.0,0.83,2.62,6.96,57.16
REM_ODI,209.0,11.50177033492823,12.87454548207731,0.0,1.87,6.08,17.03,62.76
TotalSleepTime,213.0,414.0074178403756,57.61204165600017,114.08,377.25,409.67,458.52,542.98
TotalREMTime,211.0,86.12113744075829,31.45481534239038,8.0,64.325,84.5,108.75,183.0
TotalDeepSleepTime,211.0,58.04606635071091,22.724185420475425,3.02,41.77,57.52,73.52,115.52
TotalLightSleepTime,211.0,271.6342180094787,55.14323641753234,153.63,233.89,266.2,302.545,430.97
TotalWakeTime,213.0,60.69206572769953,27.859754930172024,21.5,41.0,55.0,74.0,176.5
MeanPRSleep,212.0,62.77358490566038,8.077565935833217,45.0,56.0,62.0,70.0,84.0
MinPRSleep,213.0,48.60093896713615,7.5999875286040215,30.0,43.0,48.0,54.0,70.0
MaxPRSleep,213.0,93.64319248826291,11.502026611647082,51.0,86.0,92.0,101.0,131.0
MeanSatValue,213.0,93.47417840375587,1.344289075669874,89.0,93.0,94.0,94.0,97.0
MinSatValue,213.0,85.15962441314554,5.607682049784621,61.0,83.0,87.0,89.0,93.0
MeanNadirDesaturations,213.0,91.66737089201878,1.5792375275410635,86.48,90.76,91.76,92.82,94.76
SatBelow90,213.0,9.785352112676055,29.085177731494127,0.0,0.03,0.62,7.48,282.07
SatBelow88,0.0,,,,,,,
AreaUnder90Overall,213.0,20.920187793427232,59.641287901973385,0.0,0.0,1.0,16.0,455.0
AreaUnder90PerHour,213.0,3.1784037558685445,8.782277570583743,0.0,0.0,0.0,2.0,72.0
DesatBurdenOverall,213.0,97.73708920187794,115.51768787610841,2.0,20.0,55.0,130.0,736.0
DesatBurdenPerHour,213.0,14.953051643192488,18.611663328944083,0.0,3.0,9.0,18.0,114.0
