feature,target,n,spearman_rho,abs_spearman_rho,p_value,feature_median,target_median,q_value_bh
selected_prv_excluded_overlap_pct_of_selected,NREM_ODI,209,0.9737293406468224,0.9737293406468224,5.3999604839935686e-135,2.165109,2.62,1.968285596415656e-132
desat_n,DesatBurdenOverall,213,0.9670243375383544,0.9670243375383544,2.6305692226585785e-127,720.0,55.0,8.074463003444647e-125
desat_pct,DesatBurdenPerHour,213,0.9648401028153719,0.9648401028153719,2.035730109114837e-124,2.6,9.0,5.396535452889878e-122
selected_prv_excluded_overlap_min,NREM_ODI,209,0.9641928344827585,0.9641928344827585,2.7514096933962173e-121,7.083333,2.62,6.171623589187207e-119
desat_pct,DesatBurdenOverall,213,0.9625094238087294,0.9625094238087294,1.5708704122883976e-121,2.6,55.0,3.6645264977863743e-119
desat_n,DesatBurdenPerHour,213,0.9603478614098556,0.9603478614098556,5.187505302069985e-119,720.0,9.0,1.1205011452471167e-116
desat_pct,AHI_4_Percent,213,0.9583463499215895,0.9583463499215895,8.420186416503011e-117,2.6,4.68,1.7538045421801986e-114
desat_n,AHI_4_Percent,213,0.9544800189171627,0.9544800189171627,8.00631201453624e-113,720.0,4.68,1.556427055625845e-110
evt_obstructive_3_n,ODI_3_Percent,213,0.9504660944860895,0.9504660944860895,4.818955184097988e-109,62.0,9.71,8.265925480488079e-107
evt_obstructive_3_n,DesatBurdenOverall,213,0.9485727096963688,0.9485727096963688,2.2804421620172647e-107,62.0,55.0,3.799868196824196e-105
selected_prv_excluded_apnea_only_pct_of_selected,NREM_AHI,209,0.9464510525557331,0.9464510525557331,1.3474536370905127e-103,6.409455,7.71,2.0679867398715448e-101
evt_obstructive_3_pct,ODI_3_Percent,213,0.9434032831387896,0.9434032831387896,4.2383839145715855e-103,0.2,9.71,6.338014099943972e-101
selected_prv_clean_kept_pct_of_selected,NREM_AHI,209,-0.9359588751890092,0.9359588751890092,8.592720075793034e-96,88.104131,7.71,1.1654126391168597e-93
selected_prv_mask_excluded_total_pct_of_selected,NREM_AHI,209,0.9359588751890092,0.9359588751890092,8.592720075793034e-96,11.895869,7.71,1.1654126391168597e-93
evt_obstructive_3_pct,DesatBurdenOverall,213,0.9341631615539162,0.9341631615539162,2.1981807605816044e-96,0.2,55.0,3.204947548927979e-94
evt_obstructive_3_n,DesatBurdenPerHour,213,0.9337211486122371,0.9337211486122371,4.3488898800324935e-96,62.0,9.0,6.186030678134025e-94
evt_obstructive_3_pct,DesatBurdenPerHour,213,0.9305248839356391,0.9305248839356391,5.272119811027898e-94,0.2,9.0,6.987955167707885e-92
selected_prv_excluded_apnea_only_min,NREM_AHI,209,0.9275592305550694,0.9275592305550694,1.9155722997964023e-90,21.083333,7.71,2.4286125331331777e-88
selected_prv_excluded_overlap_pct_of_selected,NREM_AHI,209,0.9268771082608137,0.9268771082608137,4.875076097107299e-90,2.165109,7.71,5.923217457985368e-88
selected_prv_excluded_overlap_min,NREM_AHI,209,0.9241744271395268,0.9241744271395268,1.80944970613609e-88,7.083333,7.71,1.9186746702155778e-86
desat_pct,AHI,213,0.9230800566654467,0.9230800566654467,1.6312606836199575e-89,2.6,9.7,1.9027024613743185e-87
desat_pct,AHI_3_Percent,213,0.9230800566654467,0.9230800566654467,1.6312606836199575e-89,2.6,9.7,1.9027024613743185e-87
selected_prv_mask_excluded_total_min,NREM_AHI,209,0.9218938598067999,0.9218938598067999,3.4458137828544186e-87,38.0,7.71,3.241288061549511e-85
selected_prv_excluded_overlap_pct_of_selected,ODI,211,0.9213179602924926,0.9213179602924926,1.075707382469273e-87,2.165109,4.19,1.0455875757601334e-85
selected_prv_excluded_overlap_pct_of_selected,ODI_4_Percent,211,0.9213179602924926,0.9213179602924926,1.075707382469273e-87,2.165109,4.19,1.0455875757601334e-85
desat_n,AHI,213,0.9212735024527849,0.9212735024527849,1.713764463162076e-88,720.0,9.7,1.850865620215042e-86
desat_n,AHI_3_Percent,213,0.9212735024527849,0.9212735024527849,1.713764463162076e-88,720.0,9.7,1.850865620215042e-86
evt_obstructive_3_n,ODI,213,0.920707665962906,0.920707665962906,3.5387730497092596e-88,62.0,4.19,3.6207235834919996e-86
evt_obstructive_3_n,ODI_4_Percent,213,0.920707665962906,0.920707665962906,3.5387730497092596e-88,62.0,4.19,3.6207235834919996e-86
selected_prv_excluded_overlap_pct_of_selected,AHI_4_Percent,211,0.9205380309071639,0.9205380309071639,2.8925394105574997e-87,2.165109,4.68,2.765457351208416e-85
evt_obstructive_3_pct,ODI,213,0.9166654862360221,0.9166654862360221,5.399471439429649e-86,0.2,4.19,4.7711693082960175e-84
evt_obstructive_3_pct,ODI_4_Percent,213,0.9166654862360221,0.9166654862360221,5.399471439429649e-86,0.2,4.19,4.7711693082960175e-84
evt_obstructive_3_n,NREM_AHI,209,0.9153300880039988,0.9153300880039988,1.031881625468936e-83,62.0,7.71,8.981990507066918e-82
desat_pct,NREM_ODI,209,0.9133858898114664,0.9133858898114664,9.757869929052516e-83,2.6,2.62,8.368808445034452e-81
selected_prv_excluded_overlap_min,AHI_4_Percent,211,0.9116238846817147,0.9116238846817147,1.2013456945071978e-82,7.083333,4.68,1.0153982739660836e-80
selected_prv_excluded_apnea_only_pct_of_selected,AHI,211,0.9111272850848874,0.9111272850848874,2.10094927137959e-82,6.409455,9.7,1.7257374860120803e-80
selected_prv_excluded_apnea_only_pct_of_selected,AHI_3_Percent,211,0.9111272850848874,0.9111272850848874,2.10094927137959e-82,6.409455,9.7,1.7257374860120803e-80
selected_prv_excluded_overlap_min,ODI,211,0.9110598619744337,0.9110598619744337,2.2660185645717482e-82,7.083333,4.19,1.8103315436414294e-80
selected_prv_excluded_overlap_min,ODI_4_Percent,211,0.9110598619744337,0.9110598619744337,2.2660185645717482e-82,7.083333,4.19,1.8103315436414294e-80
selected_prv_excluded_apnea_only_pct_of_selected,ODI_3_Percent,211,0.909869342163827,0.909869342163827,8.531083070710747e-82,6.409455,9.71,6.723415738970956e-80
desat_n,NREM_ODI,209,0.9080643808153113,0.9080643808153113,3.522286365256392e-80,720.0,2.62,2.7389298776233704e-78
evt_obstructive_3_pct,NREM_AHI,209,0.9075399046769752,0.9075399046769752,6.171852879451223e-80,0.2,7.71,4.736084999073623e-78
selected_prv_clean_kept_pct_of_selected,NREM_ODI,209,-0.9019892017447968,0.9019892017447968,1.917072082168672e-77,88.104131,2.62,1.4333800491291916e-75
selected_prv_mask_excluded_total_pct_of_selected,NREM_ODI,209,0.9019892017447968,0.9019892017447968,1.917072082168672e-77,11.895869,2.62,1.4333800491291916e-75
selected_prv_clean_kept_pct_of_selected,AHI,211,-0.89748408852735,0.89748408852735,3.055831520605721e-76,88.104131,9.7,2.0966599327261843e-74
selected_prv_clean_kept_pct_of_selected,AHI_3_Percent,211,-0.89748408852735,0.89748408852735,3.055831520605721e-76,88.104131,9.7,2.0966599327261843e-74
selected_prv_mask_excluded_total_pct_of_selected,AHI,211,0.89748408852735,0.89748408852735,3.055831520605721e-76,11.895869,9.7,2.0966599327261843e-74
selected_prv_mask_excluded_total_pct_of_selected,AHI_3_Percent,211,0.89748408852735,0.89748408852735,3.055831520605721e-76,11.895869,9.7,2.0966599327261843e-74
combo_wake_sleep_lf_hf_fixed_valid_pct,AHI,213,-0.8972236020716655,0.8972236020716655,7.623382990892376e-77,72.9,9.7,5.557446200360542e-75
combo_wake_sleep_lf_hf_fixed_valid_pct,AHI_3_Percent,213,-0.8972236020716655,0.8972236020716655,7.623382990892376e-77,72.9,9.7,5.557446200360542e-75
selected_prv_excluded_overlap_min,DesatBurdenOverall,211,0.8971324151094928,0.8971324151094928,4.2884948300588676e-76,7.083333,55.0,2.9081978894073625e-74
selected_prv_excluded_overlap_pct_of_selected,DesatBurdenPerHour,211,0.8969777795261964,0.8969777795261964,4.975667705827529e-76,2.165109,9.0,3.335413110389212e-74
combo_wake_sleep_lf_hf_fixed_valid_pct,ODI_3_Percent,213,-0.8965648489344057,0.8965648489344057,1.4430738409698885e-76,72.9,9.71,1.0390131654983198e-74
selected_prv_excluded_overlap_pct_of_selected,DesatBurdenOverall,211,0.8956533460257827,0.8956533460257827,1.7600088078997332e-75,2.165109,55.0,1.1664058372353686e-73
selected_prv_clean_kept_pct_of_selected,ODI_3_Percent,211,-0.8949748852854998,0.8949748852854998,3.339825321582349e-75,88.104131,9.71,2.164206808385362e-73
selected_prv_mask_excluded_total_pct_of_selected,ODI_3_Percent,211,0.8949748852854998,0.8949748852854998,3.339825321582349e-75,11.895869,9.71,2.164206808385362e-73
selected_prv_excluded_desat_only_pct_of_selected,NREM_ODI,209,0.8938902598857237,0.8938902598857237,4.608042331916103e-74,0.559836,2.62,2.9531981186521664e-72
selected_prv_excluded_overlap_min,DesatBurdenPerHour,211,0.8909461363882778,0.8909461363882778,1.3722249933326375e-73,7.083333,9.0,8.698713218604284e-72
selected_prv_excluded_overlap_pct_of_selected,AHI,211,0.8903488383057031,0.8903488383057031,2.3510844722698106e-73,2.165109,9.7,1.4586728342848442e-71
selected_prv_excluded_overlap_pct_of_selected,AHI_3_Percent,211,0.8903488383057031,0.8903488383057031,2.3510844722698106e-73,2.165109,9.7,1.4586728342848442e-71
selected_prv_excluded_overlap_pct_of_selected,ODI_3_Percent,211,0.888266798919373,0.888266798919373,1.4994098329505644e-72,2.165109,9.71,9.204798048176517e-71
selected_prv_excluded_apnea_only_min,AHI,211,0.8879030130690023,0.8879030130690023,2.0647823793993119e-72,21.083333,9.7,1.2414237975934832e-70
selected_prv_excluded_apnea_only_min,AHI_3_Percent,211,0.8879030130690023,0.8879030130690023,2.0647823793993119e-72,21.083333,9.7,1.2414237975934832e-70
selected_prv_excluded_overlap_min,AHI,211,0.8870401317487978,0.8870401317487978,4.3909004688732745e-72,7.083333,9.7,2.5866395489362565e-70
selected_prv_excluded_overlap_min,AHI_3_Percent,211,0.8870401317487978,0.8870401317487978,4.3909004688732745e-72,7.083333,9.7,2.5866395489362565e-70
selected_prv_excluded_apnea_only_min,ODI_3_Percent,211,0.8852267817057471,0.8852267817057471,2.101653653344431e-71,21.083333,9.71,1.2256844106304722e-69
selected_prv_excluded_desat_only_min,NREM_ODI,209,0.8850473420952628,0.8850473420952628,1.1362222763234548e-70,1.883333,2.62,6.496517956390577e-69
selected_prv_excluded_overlap_min,ODI_3_Percent,211,0.8839954429937947,0.8839954429937947,5.9952937083805526e-71,7.083333,9.71,3.461836921512414e-69
desat_pct,NREM_AHI,209,0.8811037063766237,0.8811037063766237,3.016101795921707e-69,2.6,7.71,1.5295570151143824e-67
selected_prv_mask_excluded_total_min,NREM_ODI,209,0.8802092340340621,0.8802092340340621,6.243068296567542e-69,38.0,2.62,3.0855571445408396e-67
combo_wake_sleep_lf_hf_fixed_n_windows_total,TotalSleepTime,213,0.880150443067683,0.880150443067683,3.293057907743972e-70,237.0,409.67,1.7579446467407546e-68
combo_wake_sleep_lf_hf_fixed_total_min,TotalSleepTime,213,0.880150443067683,0.880150443067683,3.293057907743972e-70,474.0,409.67,1.7579446467407546e-68
combo_all_sleep_lf_hf_fixed_n_windows_total,TotalSleepTime,213,0.880120288631859,0.880120288631859,3.3760253846873204e-70,237.0,409.67,1.7579446467407546e-68
combo_all_sleep_lf_hf_fixed_total_min,TotalSleepTime,213,0.880120288631859,0.880120288631859,3.3760253846873204e-70,474.0,409.67,1.7579446467407546e-68
combo_deep_lf_hf_fixed_n_windows_total,TotalSleepTime,213,0.880120288631859,0.880120288631859,3.3760253846873204e-70,237.0,409.67,1.7579446467407546e-68
combo_deep_lf_hf_fixed_total_min,TotalSleepTime,213,0.880120288631859,0.880120288631859,3.3760253846873204e-70,474.0,409.67,1.7579446467407546e-68
combo_nrem_lf_hf_fixed_n_windows_total,TotalSleepTime,213,0.880120288631859,0.880120288631859,3.3760253846873204e-70,237.0,409.67,1.7579446467407546e-68
combo_nrem_lf_hf_fixed_total_min,TotalSleepTime,213,0.880120288631859,0.880120288631859,3.3760253846873204e-70,474.0,409.67,1.7579446467407546e-68
combo_rem_lf_hf_fixed_n_windows_total,TotalSleepTime,213,0.880120288631859,0.880120288631859,3.3760253846873204e-70,237.0,409.67,1.7579446467407546e-68
combo_rem_lf_hf_fixed_total_min,TotalSleepTime,213,0.880120288631859,0.880120288631859,3.3760253846873204e-70,474.0,409.67,1.7579446467407546e-68
