feature,target,n,spearman_rho,abs_spearman_rho,p_value,feature_median,target_median,q_value_bh
combo_wake_sleep_sdnn_mean_ms,MinPRSleep,213,-0.5374609145384043,0.5374609145384043,2.4268606206386548e-17,45.76781,48.0,1.6249656876652851e-16
nrem_second_half_sdnn_mean_ms,MinPRSleep,211,-0.5101561420932715,0.5101561420932715,2.2222202018420983e-15,40.069881,48.0,1.4117634223467448e-14
combo_all_sleep_sdnn_mean_ms,MinPRSleep,211,-0.5016392436549114,0.5016392436549114,7.576557530265123e-15,42.238175,48.0,4.725827114064834e-14
combo_rem_sdnn_mean_ms,MinPRSleep,211,-0.4920775545222359,0.4920775545222359,2.884845055389769e-14,47.855066,48.0,1.7728573617527008e-13
combo_nrem_sdnn_mean_ms,MinPRSleep,211,-0.4866425968100691,0.4866425968100691,6.056155235008849e-14,39.565783,48.0,3.6829507122598133e-13
combo_wake_sleep_hf,MinPRSleep,213,-0.4824640582521131,0.4824640582521131,8.107616390424766e-14,218.314088,48.0,4.925376957183046e-13
selected_sdnn_mean_ms,MinPRSleep,211,-0.47875551405953065,0.47875551405953065,1.73608540856379e-13,39.801281,48.0,1.0437989796643324e-12
combo_all_sleep_hf,MinPRSleep,211,-0.4752579589200539,0.4752579589200539,2.7458180750683067e-13,201.277283,48.0,1.649187540041026e-12
combo_rem_hf,MinPRSleep,210,-0.47411703019968804,0.47411703019968804,3.626009444766991e-13,190.4911245,48.0,2.1689114955775475e-12
combo_rem_lf,MinPRSleep,210,-0.46300791965031807,0.46300791965031807,1.4853725629939559e-12,443.175705,48.0,8.71498268348164e-12
combo_wake_sleep_sdnn_median_ms,MinPRSleep,213,-0.459387406692009,0.459387406692009,1.6191072688272216e-12,40.392322,48.0,9.490084011859655e-12
nrem_second_half_rmssd_mean_ms,MinPRSleep,211,-0.458658958660307,0.458658958660307,2.255944119891469e-12,30.71415,48.0,1.3209504123701856e-11
selected_hf,MinPRSleep,211,-0.45621003065588356,0.45621003065588356,3.0488977537940876e-12,206.442026,48.0,1.7798970670797916e-11
combo_nrem_hf,MinPRSleep,211,-0.45621003065588356,0.45621003065588356,3.0488977537940876e-12,206.442026,48.0,1.7798970670797916e-11
nrem_second_half_hf_ms2,MinPRSleep,209,-0.45531277855299784,0.45531277855299784,4.3124227875196034e-12,209.457808,48.0,2.5099849996820686e-11
combo_all_sleep_sdnn_median_ms,MinPRSleep,211,-0.44065070583613464,0.44065070583613464,1.95595388115235e-11,38.084256,48.0,1.1128900521834639e-10
combo_wake_sleep_lf,MinPRSleep,213,-0.4402589031295826,0.4402589031295826,1.642857692590242e-11,506.343912,48.0,9.393280454104206e-11
nrem_second_half_sdnn_median_ms,MinPRSleep,211,-0.4390023151323739,0.4390023151323739,2.3686665185127446e-11,35.577469,48.0,1.3359828951611536e-10
combo_nrem_sdnn_median_ms,MinPRSleep,211,-0.4325967379134931,0.4325967379134931,4.936154357691353e-11,36.826299,48.0,2.7707076240669846e-10
nrem_second_half_rmssd_median_ms,MinPRSleep,210,-0.43090608660481416,0.43090608660481416,6.638167971509005e-11,29.878721499999997,48.0,3.7189044774102324e-10
combo_all_sleep_lf,MinPRSleep,211,-0.42745782554494205,0.42745782554494205,8.79897987370477e-11,465.918526,48.0,4.910588576406337e-10
selected_sdnn_median_ms,MinPRSleep,211,-0.4269795492662714,0.4269795492662714,9.280743097248024e-11,36.668103,48.0,5.174502269899664e-10
combo_rem_rmssd_mean_ms,MinPRSleep,211,-0.42654475264929803,0.42654475264929803,9.740856435784403e-11,28.38709,48.0,5.415507600905113e-10
combo_all_sleep_rmssd_median_ms,MinPRSleep,211,-0.42276202208162994,0.42276202208162994,1.479667655115484e-10,29.117836,48.0,8.171800913478696e-10
nrem_second_half_lf_ms2,MinPRSleep,209,-0.4208525971741812,0.4208525971741812,2.2265084669063459e-10,412.216783,48.0,1.2215425568201138e-09
selected_rmssd_median_ms,MinPRSleep,211,-0.4194145417797142,0.4194145417797142,2.13290218796539e-10,29.159744,48.0,1.174606757338447e-09
combo_nrem_rmssd_median_ms,MinPRSleep,211,-0.4194145417797142,0.4194145417797142,2.13290218796539e-10,29.159744,48.0,1.174606757338447e-09
combo_wake_sleep_rmssd_median_ms,MinPRSleep,213,-0.41783905924123016,0.41783905924123016,2.0787402350490087e-10,29.588311,48.0,1.1469454163487056e-09
nrem_first_half_sdnn_mean_ms,MinPRSleep,211,-0.41582701604090516,0.41582701604090516,3.1422265655884835e-10,39.472438,48.0,1.72070097000113e-09
selected_hf_fixed_median,MinPRSleep,211,-0.41481099865212484,0.41481099865212484,3.503742891627827e-10,138.453662,48.0,1.9168694694158994e-09
combo_all_sleep_rmssd_mean_ms,MinPRSleep,211,-0.4113594808015041,0.4113594808015041,5.058482837256222e-10,30.18889,48.0,2.751965662955064e-09
combo_wake_sleep_rmssd_mean_ms,MinPRSleep,213,-0.4101499237285267,0.4101499237285267,4.758974588892416e-10,30.722601,48.0,2.5914416248758704e-09
selected_lf,MinPRSleep,211,-0.4094917735688877,0.4094917735688877,6.159841274048277e-10,465.879968,48.0,3.3355797873955018e-09
combo_nrem_lf,MinPRSleep,211,-0.4094917735688877,0.4094917735688877,6.159841274048277e-10,465.879968,48.0,3.3355797873955018e-09
combo_rem_sdnn_median_ms,MinPRSleep,211,-0.40915288797036437,0.40915288797036437,6.383157009183601e-10,44.610157,48.0,3.4500993213678186e-09
combo_deep_sdnn_mean_ms,MinPRSleep,211,-0.40631072479029595,0.40631072479029595,8.591447687146477e-10,33.369062,48.0,4.6393817510590976e-09
selected_rmssd_mean_ms,MinPRSleep,211,-0.40625062055206734,0.40625062055206734,8.645337306081468e-10,30.588749,48.0,4.65985278826868e-09
combo_nrem_rmssd_mean_ms,MinPRSleep,211,-0.40625062055206734,0.40625062055206734,8.645337306081468e-10,30.588749,48.0,4.65985278826868e-09
